//|================================================================|
//| Zythe CashShop Editor                                          |
//| Credit: Zyth3/louis                          [skype:tec-facil] |
//|================================================================|
//ID	Number	Value	Item	Level	Skill	Luck	Option	ExOpt	AncOp	JOH	Oexe	Socket1	Socket2	Socket3	Socket4	Socket5	Qtd	Duration	Comment
1000	1000	40	16	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Sword of Destruction (1 UN)
1010	1010	40	19	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Divine Sword of Archangel (1 UN)
1020	1020	20	0	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Kris (1 UN)
1030	1030	40	20	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Knight Blade (1 UN)
1040	1040	40	22	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Bone Blade (1 UN)
1050	1050	40	23	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Explosion Blade (1 UN)
1060	1060	40	24	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Daybreak (1 UN)
1070	1070	40	25	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Sword Dancer (1 UN)
1080	1080	40	26	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Flameberge (1 UN)
1090	1090	50	27	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Sword Breaker (1 UN)
1100	1100	50	28	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Rune Bastard Sword (1 UN)
1110	1110	50	29	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Sonic Blade (1 UN)
1120	1120	50	30	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Asura (1 UN)
1130	1130	50	31	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Rune Blade (1 UN)
1140	1140	50	32	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Sacred Glove (1 UN)
1150	1150	50	34	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Piercing Blade Glove (1 UN)
1160	1160	50	35	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Phoenix Soul Star (1 UN)
1170	1170	50	38	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Prickle Glove (1 UN)
1180	1180	50	44	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Bloodangel Magic Sword (1 UN)
1190	1190	50	46	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Bloodangel Claw (1 UN)
1200	1200	50	51	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Blessed Divine Sword of Archa (1 UN)
1210	1210	50	110	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Dancer Sword (1 UN)
1220	1220	50	111	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Nexus Sword (1 UN)
1230	1230	50	115	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Galaxy Sword (1 UN)
1240	1240	50	150	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Innovation Sword (1 UN)
1250	1250	50	149	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Blitz Sword (1 UN)
1260	1260	50	145	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Gladius Sword (1 UN)
1270	1270	20	2565	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Legendary Staff (1 UN)
1280	1280	40	2569	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Dragon Soul Staff (1 UN)
1290	1290	40	2570	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Divine Staff of Archangel (1 UN)
1300	1300	40	2571	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Staff of Kundun (1 UN)
1310	1310	40	2572	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Grand Viper Staff (1 UN)
1320	1320	40	2573	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Platina Staff (1 UN)
1330	1330	40	2597	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Spite Staff (1 UN)
1340	1340	50	2598	15	1	1	0	63	0	0	0	255	255	255	255	255	255	0	// Legendary Staff-J (1 UN)
