//In	IIndex	DefA	IncDmgA	IncDmgB	DecDmgA	DecDmgB	Opt1	Opt1	Opt2	Opt2   	Opt3	Opt3	NewOpt1	NewOpt1	NewOpt2	NewOpt2	NewOpt3	NewOpt3	NewOpt4	NewOpt4	ModelType	ModelName
0	6412	4	145	2	65	2	80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	"Wing268"
1	6413	4	145	2	65	2	80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	"Wing269"
2	6414	4	145	2	65	2	80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	"Wing270"
3	6415	4	145	2	65	2	80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	"Wing271"
4	6416	4	145	2	65	2	80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	"Wing272"
5	6417	4	145	2	65	2	80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	"Wing273"
6	6418	4	145	2	65	2	80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	"Wing274"
7	6419	4	145	2	65	2	80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	"Wing275"
8	6420	4	145	2	65	2	80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	"Wing276"
9	6421	4	145	2	65	2	80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	"Wing277"
10	6422	4	145	2	65	2	80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	"Wing278"
end
