0
//Index   Year   Month   Day   DoW   Hour   Minute   Second
0         *      *       *     *     0      5        0
0         *      *       *     *     4      5        0
0         *      *       *     *     8      5        0
0         *      *       *     *     12     5        0
0         *      *       *     *     16     5        0
0         *      *       *     *     20     5        0
1         *      *       *     *     0      15       0
1         *      *       *     *     4      15       0
1         *      *       *     *     8      15       0
1         *      *       *     *     12     15       0
1         *      *       *     *     16     15       0
1         *      *       *     *     20     15       0
2         *      *       *     *     0      25       0
2         *      *       *     *     4      25       0
2         *      *       *     *     8      25       0
2         *      *       *     *     12     25       0
2         *      *       *     *     16     25       0
2         *      *       *     *     17     25       0
2         *      *       *     *     18     25       0
2         *      *       *     *     19     25       0
2         *      *       *     *     20     25       0
2         *      *       *     *     21     25       0
2         *      *       *     *     22     25       0
2         *      *       *     *     23     25       0
3         *      *       *     *     0      50       0
3         *      *       *     *     4      50       0
3         *      *       *     *     8      50       0
3         *      *       *     *     12     50       0
3         *      *       *     *     16     50       0
3         *      *       *     *     20     50       0
//4         *      *       *     *     2      5        0
//4         *      *       *     *     6      5        0
//4         *      *       *     *     10     5        0
//4         *      *       *     *     14     5        0
//4         *      *       *     *     18     5        0
//4         *      *       *     *     22     5        0
5         *      *       *     *     2      15       0
5         *      *       *     *     6      15       0
5         *      *       *     *     10     15       0
5         *      *       *     *     14     15       0
5         *      *       *     *     18     15       0
5         *      *       *     *     22     15       0
//6         *      *       *     *     2      25       0
//6         *      *       *     *     6      25       0
//6         *      *       *     *     10     25       0
//6         *      *       *     *     14     25       0
//6         *      *       *     *     18     25       0
//6         *      *       *     *     22     25       0
//7         *      *       *     *     2      50       0
//7         *      *       *     *     6      50       0
//7         *      *       *     *     10     50       0
//7         *      *       *     *     14     50       0
//7         *      *       *     *     18     50       0
//7         *      *       *     *     22     50       0
8         *      *       *     *     1      0        0
8         *      *       *     *     5      0        0 
8         *      *       *     *     9      0        0
8         *      *       *     *     13     0        0
8         *      *       *     *     17     0        0
8         *      *       *     *     21     0        0
9         *      *       *     *     1      25       0
9         *      *       *     *     5      25       0 
9         *      *       *     *     9      25       0
9         *      *       *     *     13     25       0
9         *      *       *     *     17     25       0
9         *      *       *     *     21     25       0
10        *      *       *     *     1      50       0
10        *      *       *     *     5      50       0 
10        *      *       *     *     9      50       0
10        *      *       *     *     13     50       0
10        *      *       *     *     17     50       0
10        *      *       *     *     21     50       0
end

1
//Index   RespawnMessage   DespawnMessage   BossIndex   BossMessage   InvasionTime
0         192              *                55          202           1200
1         193              *                42          203           1200
2         194              *                501         204           1200
3         195              *                135         205           1200
4         196              *                *           *             1200
5         197              *                *           *             1200
6         198              *                *           *             1200
7         199              *                476         206           1200
8         200              *                561         207           1200
9         210              *                *           *             1200
10        211              *                *           *             1200
end

2
//Index   Group   Map   Value
0         0       0     0
0         0       3     0
1         0       0     0
1         0       2     0
1         0       3     0
2         0       0     0
2         1       2     0
2         2       2     0
2         3       3     0
2         4       0     0
2         4       2     0
2         4       3     0
2         4       51    0
2         5       7     0
2         6       7     0
2         7       8     0
2         8       8     0
2         9       1     0
2         10      4     0
2         11      33    0
2         12      10    0
2         13      37    0
2         14      38    0
2         15      57    0
2         16      56    0
2         17      37    0
2         17      57    0
2         18      51    0
3         0       0     0
3         0       2     0
3         0       3     0
4         0       4     0
4         0       7     0
4         0       8     0
4         0       33    0
4         0       37    0
4         0       57    0
5         0       4     0
5         0       7     0
5         0       8     0
5         0       33    0
5         0       37    0
5         0       57    0
6         0       4     0
6         0       7     0
6         0       8     0
6         0       33    0
6         0       37    0
6         0       57    0
7         0       0     0
7         0       2     0
7         0       3     0
8         0       56    0
8         0       56    1
8         0       56    2
8         0       56    3
9         0       8     0
9         0       33    0
9         0       37    0
9         0       80    0
9         0       81    0
9         0       91    0
10        0       0     0
10        0       2     0
10        0       3     0
10        0       51    0
10        1       4     0
10        1       10    0
10        1       28    0
10        1       33    0
10        2       36    0
10        2       37    0
10        2       56    0
10        2       57    0
end

3
//Index   Group   MonsterClass   RegenType   RegenTime
0         0       55             0           0
0         0       56             0           0
1         0       42             0           0
2         0       43             0           0
2         1       53             0           0
2         2       54             0           0
2         3       78             0           0
2         4       79             0           0
2         5       80             0           0
2         6       81             0           0
2         7       82             0           0
2         8       83             0           0
2         9       493            0           0
2         10      494            0           0
2         11      495            0           0
2         12      496            0           0
2         13      497            0           0
2         14      498            0           0
2         15      499            0           0
2         16      500            0           0
2         17      501            0           0
2         18      502            0           0
3         0       135            0           0
3         0       136            0           0
3         0       137            0           0
4         0       365            0           0
5         0       413            0           0
6         0       463            0           0
7         0       466            0           0
7         0       476            0           0
8         0       560            0           0
8         0       561            0           0
9         0       652            0           0
10        0       674            0           0
10        1       675            0           0
10        2       676            0           0
end
