0
//Cycle
2
end

1
//State   StartDay   StartHour   StartMinute
1	  0	     0	         0	// Registro de Castle Siege
2	  1	     15	         59	// idle state
3	  1	     16	         0	// Registro do status da Mark of Lord
4	  1	     17	         0	// idle state
5	  1	     18	         0	// Notificação de Ataque ao Castelo às guilds
6	  1	     19	         0	// Lendo o estado de Castle Siege
7	  1	     21	         0	// Início de Castle Siege
8	  1	     22	         0	// Fim de Castle Siege
9	  2	     0	         0	// Fim do ciclo de Castle Siege (Volta automaticamente para o 1)
end

2
//Monster   Index   Side   DBSave   DFLevel   RGLevel   MaxLife   X      Y      TX      TY      Dir
283	    1	    1	   1	    0	      0	        400000	  94     227	-1	-1      1
283	    2	    1	   1	    0	      0	        400000	  94     182	-1	-1      1
283	    3	    1	   1	    0	      0	        400000	  82     130	-1	-1      1
283	    4	    1	   1	    0	      0	        400000	  107	 130	-1	-1      1
277	    1	    1	   1	    0	      0	        500000	  93	 204	-1	-1      1
277	    2	    1	   1	    0	      0	        500000	  81	 161	-1	-1      1
277	    3	    1	   1	    0	      0	        500000	  107	 161	-1	-1      1
277	    4	    1	   1	    0	      0	        500000	  67	 114	-1	-1      1
277	    5	    1	   1	    0	      0	        500000	  93	 114	-1	-1      1
277	    6	    1	   1	    0	      0	        500000	  119	 114	-1	-1      1
288	    1	    0	   1	    0	      0	        800000	  75	 130	-1	-1      1
288	    2	    0	   1	    0	      0	        800000	  88	 130	-1	-1      1
288	    3	    0	   1	    0	      0	        800000	  99	 130	-1	-1      1
288	    4	    0	   1	    0	      0	        800000	  114	 130	-1	-1      1
288	    5	    0	   1	    0	      0	        800000	  94	 151	-1	-1      1
288	    6	    0	   1	    0	      0	        800000	  88	 182	-1	-1      1
288	    7	    0	   1	    0	      0	        800000	  100	 182	-1	-1      1
288	    8	    0	   1	    0	      0	        800000	  94	 221	-1	-1      1
288	    9	    0	   1	    0	      0	        800000	  94	 233	-1	-1      1
215	    1	    0	   1	    0	      0	        10000	  94	 242	-1	-1      1
222	    1	    0	   1	    0	      0	        10000	  80	 188	-1	-1      1
222	    2	    0	   1	    0	      0	        10000	  105	 188	-1	-1      1
221	    1	    0	   2	    0	      0	        10000	  63	 19	-1	-1      5
221	    2	    0	   2	    0	      0	        10000	  119	 19	-1	-1      5
end
