0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Gold Medal"		 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           15     3          3          0       0      0        3
0           12     3          3          0       0      0        3
1           8      3          3          0       0      0        3
3           8      3          3          0       0      0        3
4           4      3          3          0       0      0        3
4           12     3          3          0       0      0        3
5           4      3          3          0       0      0        3
6           8      3          3          0       0      0        3
6           11     3          3          0       0      0        3
7           9      3          3          0       0      0        3
8           9      3          3          0       0      0        3
9           9      3          3          0       0      0        3
10          9      3          3          0       0      0        3
11          9      3          3          0       0      0        3
7           7      3          3          0       0      0        3
8           7      3          3          0       0      0        3
9           7      3          3          0       0      0        3
10          7      3          3          0       0      0        3
11          7      3          3          0       0      0        3
7           12     3          3          0       0      0        3
8           12     3          3          0       0      0        3
9           12     3          3          0       0      0        3
10          12     3          3          0       0      0        3
11          12     3          3          0       0      0        3
7           13     3          3          0       0      0        3
8           13     3          3          0       0      0        3
9           13     3          3          0       0      0        3
10          13     3          3          0       0      0        3
11          13     3          3          0       0      0        3
13          0      0          0          0       0      0        3
13          1      0          0          0       0      0        3
13          2      0          0          0       0      0        3
13          8      0          0          0       0      0        3
13          9      0          0          0       0      0        3
13          12     0          0          0       0      0        3
13          13     0          0          0       0      0        3
14          13     0          0          0       0      0        3
14          14     0          0          0       0      0        3
12          15     0          0          0       0      0        3
end
