0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Box of Kundun 5"	 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           22         0          13          1       1      1        1
0           23         0          13          1       1      1        1
0           24         0          13          1       1      1        1
0           25         0          13          1       1      1        1
0           26         0          13          1       1      1        1
0           27         0          13          1       1      1        1
0           28         0          13          1       1      1        1
0           31         0          13          1       1      1        1

1           8          0          13          1       1      1        1

2           16         0          13          1       1      1        1
2           17         0          13          1       1      1        1
2           18         0          13          1       1      1        1

3           8          0          13          1       1      1        1
3           9          0          13          1       1      1        1
3           10         0          13          1       1      1        1
3           11         0          13          1       1      1        1

4           20         0          13          1       1      1        1
4           21         0          13          1       1      1        1
4           22         0          13          1       1      1        1
4           23         0          13          1       1      1        1
4           24         0          13          1       1      1        1

5           12         0          13          1       1      1        1
5           13         0          13          1       1      1        1
5           14         0          13          1       1      1        1
5           15         0          13          1       1      1        1
5           16         0          13          1       1      1        1
5           17         0          13          1       1      1        1
5           18         0          13          1       1      1        1
5           19         0          13          1       1      1        1
5           20         0          13          1       1      1        1
5           21         0          13          1       1      1        1
5           22         0          13          1       1      1        1
5           23         0          13          1       1      1        1
5           30         0          13          1       1      1        1
5           31         0          13          1       1      1        1
5           33         0          13          1       1      1        1
5           34         0          13          1       1      1        1
5           36         0          13          1       1      1        1

6           20         0          13          1       1      1        1
6           21         0          13          1       1      1        1

8           32         0          13          1       1      1        1
9           32         0          13          1       1      1        1
10          32         0          13          1       1      1        1
11          32         0          13          1       1      1        1

7           33         0          13          1       1      1        1
8           33         0          13          1       1      1        1
9           33         0          13          1       1      1        1
10          33         0          13          1       1      1        1
11          33         0          13          1       1      1        1

7           34         0          13          1       1      1        1
8           34         0          13          1       1      1        1
9           34         0          13          1       1      1        1
10          34         0          13          1       1      1        1
11          34         0          13          1       1      1        1

7           35         0          13          1       1      1        1
8           35         0          13          1       1      1        1
9           35         0          13          1       1      1        1
10          35         0          13          1       1      1        1
11          35         0          13          1       1      1        1

7           36         0          13          1       1      1        1
8           36         0          13          1       1      1        1
9           36         0          13          1       1      1        1
10          36         0          13          1       1      1        1
11          36         0          13          1       1      1        1

8           37         0          13          1       1      1        1
9           37         0          13          1       1      1        1
10          37         0          13          1       1      1        1
11          37         0          13          1       1      1        1

7           38         0          13          1       1      1        1
8           38         0          13          1       1      1        1
9           38         0          13          1       1      1        1
10          38         0          13          1       1      1        1
11          38         0          13          1       1      1        1

7           39         0          13          1       1      1        1
8           39         0          13          1       1      1        1
9           39         0          13          1       1      1        1
10          39         0          13          1       1      1        1
11          39         0          13          1       1      1        1

7           40         0          13          1       1      1        1
8           40         0          13          1       1      1        1
9           40         0          13          1       1      1        1
10          40         0          13          1       1      1        1
11          40         0          13          1       1      1        1

7           41         0          13          1       1      1        1
8           41         0          13          1       1      1        1
9           41         0          13          1       1      1        1
10          41         0          13          1       1      1        1
11          41         0          13          1       1      1        1

7           42         0          13          1       1      1        1
8           42         0          13          1       1      1        1
9           42         0          13          1       1      1        1
10          42         0          13          1       1      1        1
11          42         0          13          1       1      1        1

7           43         0          13          1       1      1        1
8           43         0          13          1       1      1        1
9           43         0          13          1       1      1        1
10          43         0          13          1       1      1        1
11          43         0          13          1       1      1        1

8           44         0          13          1       1      1        1
9           44         0          13          1       1      1        1
10          44         0          13          1       1      1        1
11          44         0          13          1       1      1        1

7           45         0          13          1       1      1        1
8           45         0          13          1       1      1        1
9           45         0          13          1       1      1        1
10          45         0          13          1       1      1        1
11          45         0          13          1       1      1        1

7           46         0          13          1       1      1        1
8           46         0          13          1       1      1        1
9           46         0          13          1       1      1        1
10          46         0          13          1       1      1        1
11          46         0          13          1       1      1        1

8           47         0          13          1       1      1        1
9           47         0          13          1       1      1        1
10          47         0          13          1       1      1        1
11          47         0          13          1       1      1        1

8           48         0          13          1       1      1        1
9           48         0          13          1       1      1        1
10          48         0          13          1       1      1        1
11          48         0          13          1       1      1        1

7           49         0          13          1       1      1        1
8           49         0          13          1       1      1        1
9           49         0          13          1       1      1        1
10          49         0          13          1       1      1        1
11          49         0          13          1       1      1        1

7           50         0          13          1       1      1        1
8           50         0          13          1       1      1        1
9           50         0          13          1       1      1        1
10          50         0          13          1       1      1        1
11          50         0          13          1       1      1        1

7           51         0          13          1       1      1        1
8           51         0          13          1       1      1        1
9           51         0          13          1       1      1        1
10          51         0          13          1       1      1        1
11          51         0          13          1       1      1        1

7           52         0          13          1       1      1        1
8           52         0          13          1       1      1        1
9           52         0          13          1       1      1        1
10          52         0          13          1       1      1        1
11          52         0          13          1       1      1        1

7           53         0          13          1       1      1        1
8           53         0          13          1       1      1        1
9           53         0          13          1       1      1        1
10          53         0          13          1       1      1        1
11          53         0          13          1       1      1        1
end
