0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Blue Heart"		 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
7           5      7          8          0       0      0        2
8           5      7          8          0       0      0        2 
9           5      7          8          0       0      0        2
10          5      7          8          0       0      0        2
11          5      7          8          0       0      0        2 
7           0      7          8          0       0      0        2
8           0      7          8          0       0      0        2
9           0      7          8          0       0      0        2 
10          0      7          8          0       0      0        2
11          0      7          8          0       0      0        2
7           6      7          8          0       0      0        2 
8           6      7          8          0       0      0        2 
9           6      7          8          0       0      0        2 
10          6      7          8          0       0      0        2 
11          6      7          8          0       0      0        2
7           8      7          8          0       0      0        2 
8           8      7          8          0       0      0        2 
9           8      7          8          0       0      0        2
10          8      7          8          0       0      0        2 
11          8      7          8          0       0      0        2
0           3      5          6          0       0      0        2
0           5      5          6          0       0      0        2
0           15     5          6          0       0      0        2 
7           2      7          8          0       0      0        2
8           2      7          8          0       0      0        2
9           2      7          8          0       0      0        2
10          2      7          8          0       0      0        2
11          2      7          8          0       0      0        2
7           4      7          8          0       0      0        2
8           4      7          8          0       0      0        2
9           4      7          8          0       0      0        2
10          4      7          8          0       0      0        2
11          4      7          8          0       0      0        2
7           7      7          8          0       0      0        2
8           7      7          8          0       0      0        2
9           7      7          8          0       0      0        2
10          7      7          8          0       0      0        2
11          7      7          8          0       0      0        2
5           0      5          6          0       0      0        2
5           1      5          6          0       0      0        2 
5           2      5          6          0       0      0        2
5           3      5          6          0       0      0        2 
7           10     7          8          0       0      0        2
8           10     7          8          0       0      0        2 
9           10     7          8          0       0      0        2
10          10     7          8          0       0      0        2
11          10     7          8          0       0      0        2
7           11     7          8          0       0      0        2
8           11     7          8          0       0      0        2 
9           11     7          8          0       0      0        2
10          11     7          8          0       0      0        2 
11          11     7          8          0       0      0        2 
7           12     7          8          0       0      0        2 
8           12     7          8          0       0      0        2
9           12     7          8          0       0      0        2
10          12     7          8          0       0      0        2 
11          12     7          8          0       0      0        2
4           2      5          6          0       0      0        2 
4           3      5          6          0       0      0        2 
4           4      5          6          0       0      0        2 
4           5      5          6          0       0      0        2 
7           25     7          8          0       0      0        2 
8           25     7          8          0       0      0        2
9           25     7          8          0       0      0        2 
10          25     7          8          0       0      0        2 
11          25     7          8          0       0      0        2
2           8      5          6          0       0      0        2
end
