0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks
"Kundun"                 1000000   100            3               9000                 0              0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           17     0          4          1       1      0        3
0           18     0          4          1       1      0        3
0           31     0          4          1       1      0        3
0           20     0          4          1       1      0        3
0           21     0          4          1       1      0        3
3           12     0          4          1       1      0        3
4           19     0          4          1       1      0        3
4           20     0          4          1       1      0        3
5           9      0          4          1       1      0        3
5           11     0          4          1       1      0        3
2           14     0          4          1       1      0        3
0           22     0          4          1       1      0        3
0           23     0          4          1       1      0        3
4           21     0          4          1       1      0        3
5           12     0          4          1       1      0        3
0           16     0          0          1       1      0        3
2           10     0          0          1       1      0        3
3           10     0          0          1       1      0        3
4           16     0          0          1       1      0        3
4           17     0          0          1       1      0        3
5           8      0          0          1       1      0        3
7           1      0          4          0       1      0        3
7           22     0          4          0       1      0        3
7           21     0          4          0       1      0        3
7           22     0          4          0       1      0        3
7           28     0          4          0       1      0        3
8           1      0          4          0       1      0        3
8           17     0          4          0       1      0        3
8           20     0          4          0       1      0        3
8           21     0          4          0       1      0        3
8           22     0          4          0       1      0        3
8           23     0          4          0       1      0        3
8           24     0          4          0       1      0        3
8           28     0          4          0       1      0        3
8           30     0          4          1       1      0        3
8           31     0          4          1       1      0        3
8           32     0          4          1       1      0        3
8           33     0          4          1       1      0        3
9            1     0          4          0       1      0        3
9           21     0          4          0       1      0        3
9           22     0          4          0       1      0        3
9           23     0          4          0       1      0        3
9           24     0          4          0       1      0        3
9           28     0          4          0       1      0        3
10          23     0          4          0       1      0        3
10           1     0          4          0       1      0        3
11          23     0          4          0       1      0        3
11           1     0          4          0       1      0        3
end


