0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Senior Mix"		 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           20     5         10          1       1      0        4
0           21     5         10          1       1      0        4
3           12     5         10          1       1      0        4
4           20     5         10          1       1      0        4
0           16     5         10          1       1      0        4
0           31     5         10          1       1      0        4
2           11     5         10          1       1      0        4
3           10     5         10          1       1      0        4
4           19     5         10          1       1      0        4
5           6      5         10          1       1      0        4
5           9      5         10          1       1      0        4
5           11     0         10          1       1      0        4
0           20     0         10          1       1      0        4
0           21     0         10          1       1      0        4
3           12     0         10          1       1      0        4
4           20     0         10          1       1      0        4
7           21     5         10          0       1      0        4
8           21     5         10          0       1      0        4
9           21     5         10          0       1      0        4
10          21     5         10          0       1      0        4
11          21     5         10          0       1      0        4
7           24     5         10          0       1      0        4
8           24     5         10          0       1      0        4
9           24     5         10          0       1      0        4
10          24     5         10          0       1      0        4
11          24     5         10          0       1      0        4
7           22     5         10          0       1      0        4
8           22     5         10          0       1      0        4
9           22     5         10          0       1      0        4
10          22     5         10          0       1      0        4
11          22     5         10          0       1      0        4
7           28     5         10          0       1      0        4
8           28     5         10          0       1      0        4
9           28     5         10          0       1      0        4
10          28     5         10          0       1      0        4
11          28     5         10          0       1      0        4
8           23     5         10          0       1      0        4
9           23     5         10          0       1      0        4
10          23     5         10          0       1      0        4
11          23     5         10          0       1      0        4
8           21     0         10          0       1      0        4
8           24     0         10          0       1      0        4
8           22     0         10          0       1      0        4
8           28     0         10          0       1      0        4
8           23     0         10          0       1      0        4
end
