
0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Dark Elf"		 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           17     3          5          1       1      1        3
0           18     3          5          1       1      1        3
2           12     3          5          1       1      1        3
4           19     3          5          1       1      1        3
5           9      3          5          1       1      1        3
6           13     3          5          1       1      1        3
6           16     3          5          1       1      1        3
5           6      0          0          1       1      1        3
2           4      0          0          1       1      1        3
2           9      0          0          1       1      1        3
4           14     0          0          1       1      1        3
2           5      0          0          1       1      1        3
7           1      0          0          0       1      1        3
7           3      0          0          0       1      1        3
7           14     0          0          0       1      1        3
8           1      0          0          0       1      1        3
8           3      0          0          0       1      1        3
8           14     0          0          0       1      1        3
9           1      0          0          0       1      1        3
9           3      0          0          0       1      1        3
9           14     0          0          0       1      1        3
10          1      0          0          0       1      1        3
10          3      0          0          0       1      1        3
10          14     0          0          0       1      1        3
11          1      0          0          0       1      1        3
11          3      0          0          0       1      1        3
11          14     0          0          0       1      1        3
13          36     0          0          0       0      0        3
13          18     4          6          0       0      0        3
14          19     4          5          0       0      0        3
14          28     4          6          0       0      0        3
end
