0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Maya Hand Left"	 1000	   100		  3		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           17     4          6          1       1      1        4
0           18     4          6          1       1      1        4
2           11     4          6          1       1      1        4
4           19     4          6          1       1      1        4
5           9      4          6          1       1      1        4
0           14     0          0          1       0      0        4
5           5      0          0          1       0      0        4
4           14     0          0          1       0      0        4
4           16     0          0          1       0      0        4
2           9      0          0          1       0      0        4
2           4      0          0          1       0      0        4
2           5      0          0          1       0      0        4
6           15     4          6          1       0      1        4
6           12     0          0          1       0      0        4
6           16     0          0          1       0      0        4
7           34     4          6          0       1      1        4
9           34     4          6          0       1      1        4
10          34     4          6          0       1      1        4
11          34     4          6          0       1      1        4
7           35     4          6          0       1      1        4
9           35     4          6          0       1      1        4
10          35     4          6          0       1      1        4
11          35     4          6          0       1      1        4
7           36     4          6          0       1      1        4
9           36     4          6          0       1      1        4
10          36     4          6          0       1      1        4
11          36     4          6          0       1      1        4
9           37     4          6          0       1      1        4
10          37     4          6          0       1      1        4
11          37     4          6          0       1      1        4
7           38     4          6          0       1      1        4
9           38     4          6          0       1      1        4
10          38     4          6          0       1      1        4
11          38     4          6          0       1      1        4
8           17     4          6          0       1      1        4
9           17     4          6          0       1      1        4
8           18     4          6          0       1      1        4
9           18     4          6          0       1      1        4
8           19     4          6          0       1      1        4
9           19     4          6          0       1      1        4
8           20     4          6          0       1      1        4
9           20     4          6          0       1      1        4
8           27     4          6          0       1      1        4
9           27     4          6          0       1      1        4
7           16     0          0          0       0      0        4
9           16     0          0          0       0      0        4
10          16     0          0          0       0      0        4
11          16     0          0          0       0      0        4
10          17     0          0          0       0      0        4
11          17     0          0          0       0      0        4
9           3      0          0          0       0      0        4
8           3      0          0          0       0      0        4
10          18     0          0          0       0      0        4
11          18     0          0          0       0      0        4
8           14     0          0          0       0      0        4
9           14     0          0          0       0      0        4
10          19     0          0          0       0      0        4
11          19     0          0          0       0      0        4
10          15     0          0          0       0      0        4
11          15     0          0          0       0      0        4
10          26     0          0          0       0      0        4
9           26     0          0          0       0      0        4
11          26     0          0          0       0      0        4
14          19     4          5          0       0      0        4
13          18     5          6          0       0      0        4
14          28     6          7          0       0      0        4
end
