0
//EventName GOLD            DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Chaos Card Mix 2"	 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
6           0     5          7          1       1      1        3
6           1     5          7          1       1      1        3
6           2     5          7          1       1      1        3
6           3     5          7          1       1      1        3
6           4     5          7          1       1      1        3
6           5     5          7          1       1      1        3
6           6     5          7          1       1      1        3
6           7     5          7          1       1      1        3
6           8     5          7          1       1      1        3
6           9     5          7          1       1      1        3
6           11    5          7          1       1      1        3
6           12    5          7          1       1      1        3
6           13    5          7          1       1      1        3
6           14    5          7          1       1      1        3
6           15    5          7          1       1      1        3
6           16    5          7          1       1      1        3
6           17    5          7          1       1      1        3
6           18    5          7          1       1      1        3
6           19    5          7          1       1      1        3
6           20    5          7          1       1      1        3
6           21    5          7          1       1      1        3
6           22    5          7          1       1      1        3
6           23    5          7          1       1      1        3
6           24    5          7          1       1      1        3
6           25    5          7          1       1      1        3
6           26    5          7          1       1      1        3

6           0     5          7          1       1      1        4
6           1     5          7          1       1      1        4
6           2     5          7          1       1      1        4
6           3     5          7          1       1      1        4
6           4     5          7          1       1      1        4
6           5     5          7          1       1      1        4
6           6     5          7          1       1      1        4
6           7     5          7          1       1      1        4
6           8     5          7          1       1      1        4
6           9     5          7          1       1      1        4
6           11    5          7          1       1      1        4
6           12    5          7          1       1      1        4
6           13    5          7          1       1      1        4
6           14    5          7          1       1      1        4
6           15    5          7          1       1      1        4
6           16    5          7          1       1      1        4
6           17    5          7          1       1      1        4
6           18    5          7          1       1      1        4
6           19    5          7          1       1      1        4
6           20    5          7          1       1      1        4
6           21    5          7          1       1      1        4
6           22    5          7          1       1      1        4
6           23    5          7          1       1      1        4
6           24    5          7          1       1      1        4
6           25    5          7          1       1      1        4
6           26    5          7          1       1      1        4

6           0     5          7          1       1      1        5
6           1     5          7          1       1      1        5
6           2     5          7          1       1      1        5
6           3     5          7          1       1      1        5
6           4     5          7          1       1      1        5
6           5     5          7          1       1      1        5
6           6     5          7          1       1      1        5
6           7     5          7          1       1      1        5
6           8     5          7          1       1      1        5
6           9     5          7          1       1      1        5
6           11    5          7          1       1      1        5
6           12    5          7          1       1      1        5
6           13    5          7          1       1      1        5
6           14    5          7          1       1      1        5
6           15    5          7          1       1      1        5
6           16    5          7          1       1      1        5
6           17    5          7          1       1      1        5
6           18    5          7          1       1      1        5
6           19    5          7          1       1      1        5
6           20    5          7          1       1      1        5
6           21    5          7          1       1      1        5
6           22    5          7          1       1      1        5
6           23    5          7          1       1      1        5
6           24    5          7          1       1      1        5
6           25    5          7          1       1      1        5
6           26    5          7          1       1      1        5

6           0     5          7          1       1      1        6
6           1     5          7          1       1      1        6
6           2     5          7          1       1      1        6
6           3     5          7          1       1      1        6
6           4     5          7          1       1      1        6
6           5     5          7          1       1      1        6
6           6     5          7          1       1      1        6
6           7     5          7          1       1      1        6
6           8     5          7          1       1      1        6
6           9     5          7          1       1      1        6
6           11    5          7          1       1      1        6
6           12    5          7          1       1      1        6
6           13    5          7          1       1      1        6
6           14    5          7          1       1      1        6
6           15    5          7          1       1      1        6
6           16    5          7          1       1      1        6
6           17    5          7          1       1      1        6
6           18    5          7          1       1      1        6
6           19    5          7          1       1      1        6
6           20    5          7          1       1      1        6
6           21    5          7          1       1      1        6
6           22    5          7          1       1      1        6
6           23    5          7          1       1      1        6
6           24    5          7          1       1      1        6
6           25    5          7          1       1      1        6
6           26    5          7          1       1      1        6

7           0     5          7          1       1      1        2
7           1     5          7          1       1      1        2
7           2     5          7          1       1      1        2
7           3     5          7          1       1      1        2
7           4     5          7          1       1      1        2
7           5     5          7          1       1      1        2
7           6     5          7          1       1      1        2
7           7     5          7          1       1      1        2
7           8     5          7          1       1      1        2
7           9     5          7          1       1      1        2
7           10    5          7          1       1      1        2
7           11    5          7          1       1      1        2
7           12    5          7          1       1      1        2
7           13    5          7          1       1      1        2
7           14    5          7          1       1      1        2
7           16    5          7          1       1      1        2
7           17    5          7          1       1      1        2
7           18    5          7          1       1      1        2
7           19    5          7          1       1      1        2

7           21    5          7          1       1      1        2
7           22    5          7          1       1      1        2

7           24    5          7          1       1      1        2
7           25    5          7          1       1      1        2
7           26    5          7          1       1      1        2
7           27    5          7          1       1      1        2
7           28    5          7          1       1      1        2
7           29    5          7          1       1      1        2
7           30    5          7          1       1      1        2
7           31    5          7          1       1      1        2

7           33    5          7          1       1      1        2
7           34    5          7          1       1      1        2
7           35    5          7          1       1      1        2
7           36    5          7          1       1      1        2

7           38    5          7          1       1      1        2
7           39    5          7          1       1      1        2
7           40    5          7          1       1      1        2
7           41    5          7          1       1      1        2
7           42    5          7          1       1      1        2
7           43    5          7          1       1      1        2
7           44    5          7          1       1      1        2
7           45    5          7          1       1      1        2
7           46    5          7          1       1      1        2


7           49    5          7          1       1      1        2
7           50    5          7          1       1      1        2
7           51    5          7          1       1      1        2
7           52    5          7          1       1      1        2
7           53    5          7          1       1      1        2
7           54    5          7          1       1      1        2
7           55    5          7          1       1      1        2
7           56    5          7          1       1      1        2

7           58    5          7          1       1      1        2
7           59    5          7          1       1      1        2
7           60    5          7          1       1      1        2
7           61    5          7          1       1      1        2

7           73    5          7          1       1      1        2
7           74    5          7          1       1      1        2
7           75    5          7          1       1      1        2

7           0     5          7          1       1      1        3
7           1     5          7          1       1      1        3
7           2     5          7          1       1      1        3
7           3     5          7          1       1      1        3
7           4     5          7          1       1      1        3
7           5     5          7          1       1      1        3
7           6     5          7          1       1      1        3
7           7     5          7          1       1      1        3
7           8     5          7          1       1      1        3
7           9     5          7          1       1      1        3
7           10    5          7          1       1      1        3
7           11    5          7          1       1      1        3
7           12    5          7          1       1      1        3
7           13    5          7          1       1      1        3
7           14    5          7          1       1      1        3
7           16    5          7          1       1      1        3
7           17    5          7          1       1      1        3
7           18    5          7          1       1      1        3
7           19    5          7          1       1      1        3

7           21    5          7          1       1      1        3
7           22    5          7          1       1      1        3

7           24    5          7          1       1      1        3
7           25    5          7          1       1      1        3
7           26    5          7          1       1      1        3
7           27    5          7          1       1      1        3
7           28    5          7          1       1      1        3
7           29    5          7          1       1      1        3
7           30    5          7          1       1      1        3
7           31    5          7          1       1      1        3

7           33    5          7          1       1      1        3
7           34    5          7          1       1      1        3
7           35    5          7          1       1      1        3
7           36    5          7          1       1      1        3

7           38    5          7          1       1      1        3
7           39    5          7          1       1      1        3
7           40    5          7          1       1      1        3
7           41    5          7          1       1      1        3
7           42    5          7          1       1      1        3
7           43    5          7          1       1      1        3
7           44    5          7          1       1      1        3
7           45    5          7          1       1      1        3
7           46    5          7          1       1      1        3


7           49    5          7          1       1      1        3
7           50    5          7          1       1      1        3
7           51    5          7          1       1      1        3
7           52    5          7          1       1      1        3
7           53    5          7          1       1      1        3
7           54    5          7          1       1      1        3
7           55    5          7          1       1      1        3
7           56    5          7          1       1      1        3
7           58    5          7          1       1      1        3
7           59    5          7          1       1      1        3
7           60    5          7          1       1      1        3
7           61    5          7          1       1      1        3
7           73    5          7          1       1      1        3
7           74    5          7          1       1      1        3
7           75    5          7          1       1      1        3

7           0     5          7          1       1      1        4
7           1     5          7          1       1      1        4
7           2     5          7          1       1      1        4
