0
//EventName MINI         DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Chaos Card Mix 4"	 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           0     5          7          0       1      1        1
0           1     5          7          1       1      1        1
0           2     5          7          1       1      1        1
0           3     5          7          1       1      1        1
0           4     5          7          1       1      1        1
0           5     5          7          0       1      1        1
0           6     5          7          1       1      1        1
0           7     5          7          1       1      1        1
0           8     5          7          1       1      1        1
0           9     5          7          1       1      1        1
0           11    5          7          0       1      1        1
0           12    5          7          0       1      1        1
0           13    5          7          0       1      1        1
0           14    5          7          0       1      1        1
0           15    5          7          0       1      1        1
0           16    5          7          0       1      1        1
0           17    5          7          0       1      1        1
0           18    5          7          0       1      1        1
0           19    5          7          0       1      1        1
0           20    5          7          0       1      1        1
0           21    5          7          0       1      1        1
0           22    5          7          0       1      1        1
0           23    5          7          0       1      1        1
0           24    5          7          0       1      1        1
0           25    5          7          0       1      1        1
0           26    5          7          0       1      1        1
0           27    5          7          0       1      1        1
0           28    5          7          0       1      1        1
0           29    5          7          0       1      1        1
0           30    5          7          0       1      1        1
0           31    5          7          0       1      1        1
0           32    5          7          0       1      1        1
0           33    5          7          0       1      1        1
0           34    5          7          0       1      1        1
0           35    5          7          0       1      1        1
0           36    5          7          0       1      1        1
0           37    5          7          0       1      1        1
0           0     5          7          0       1      1        2
0           1     5          7          1       1      1        2
0           2     5          7          1       1      1        2
0           3     5          7          1       1      1        2
0           4     5          7          1       1      1        2
0           5     5          7          0       1      1        2
0           6     5          7          1       1      1        2
0           7     5          7          1       1      1        2
0           8     5          7          1       1      1        2
0           9     5          7          1       1      1        2
0           11    5          7          0       1      1        2
0           12    5          7          0       1      1        2
0           13    5          7          0       1      1        2
0           14    5          7          0       1      1        2
0           15    5          7          0       1      1        2
0           16    5          7          0       1      1        2
0           17    5          7          0       1      1        2
0           18    5          7          0       1      1        2
0           19    5          7          0       1      1        2
0           20    5          7          0       1      1        2
0           21    5          7          0       1      1        2
0           22    5          7          0       1      1        2
0           23    5          7          0       1      1        2
0           24    5          7          0       1      1        2
0           25    5          7          0       1      1        2
0           26    5          7          0       1      1        2
0           27    5          7          0       1      1        2
0           28    5          7          0       1      1        2
0           29    5          7          0       1      1        2
0           30    5          7          0       1      1        2
0           31    5          7          0       1      1        2
0           32    5          7          0       1      1        2
0           33    5          7          0       1      1        2
0           34    5          7          0       1      1        2
