0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Medusa"		 1000	   100		  3		  9000		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
12          30     0          0          0       1      0        2
12          31     0          0          0       1      0        2
12          30     1          1          0       1      0        2
12          31     1          1          0       1      0        2
14          13     0          0          0       1      0        2
14          14     0          0          0       1      0        2
14          16     0          0          0       1      0        2
14          22     0          0          0       1      0        2
14          42     0          0          0       1      0        2
12          15     0          0          0       1      0        2
12          71     0          0          0       1      0        2
0           17     0          0          1       1      1        2
0           18     0          0          1       1      1        2
0           31     0          0          1       1      1        2
0           20     0          0          1       1      1        2
0           21     0          0          1       1      1        2
0           25     0          0          1       1      1        2
2           12     0          0          1       1      1        2
2           15     0          0          1       1      1        2
4           19     0          0          1       1      1        2
4           20     0          0          1       1      1        2
4           22     0          0          1       1      1        2
5           9      0          0          1       1      1        2
5           11     0          0          1       1      1        2
5           13     0          0          1       1      1        2
5           18     0          0          1       1      1        2
12          72     0          0          0       1      0        2
0           26     0          3          1       1      1        2
0           27     0          3          1       1      1        2
0           28     0          3          1       1      1        2
2           16     0          3          1       1      1        2
2           17     0          3          1       1      1        2
4           23     0          3          1       1      1        2
5           30     0          3          0       1      1        2
5           31     0          3          0       1      1        2
5           32     0          3          0       1      1        2
6           17     0          3          1       1      1        2
6           18     0          3          1       1      1        2
6           19     0          3          1       1      1        2
6           20     0          3          1       1      1        2
7           45     0          3          0       1      1        2
7           46     0          3          0       1      1        2
7           49     0          3          0       1      1        2
7           50     0          3          0       1      1        2
7           51     0          3          0       1      1        2
7           52     0          3          0       1      1        2
8           45     0          3          0       1      1        2
8           46     0          3          0       1      1        2
8           47     0          3          0       1      1        2
8           48     0          3          0       1      1        2
8           49     0          3          0       1      1        2
8           50     0          3          0       1      1        2
8           51     0          3          0       1      1        2
8           52     0          3          0       1      1        2
9           45     0          3          0       1      1        2
9           46     0          3          0       1      1        2
9           47     0          3          0       1      1        2
9           48     0          3          0       1      1        2
9           49     0          3          0       1      1        2
9           50     0          3          0       1      1        2
9           51     0          3          0       1      1        2
9           52     0          3          0       1      1        2
10          45     0          3          0       1      1        2
10          46     0          3          0       1      1        2
10          47     0          3          0       1      1        2
10          48     0          3          0       1      1        2
10          49     0          3          0       1      1        2
10          50     0          3          0       1      1        2
10          51     0          3          0       1      1        2
10          52     0          3          0       1      1        2
11          45     0          3          0       1      1        2
11          46     0          3          0       1      1        2
11          47     0          3          0       1      1        2
11          48     0          3          0       1      1        2
11          49     0          3          0       1      1        2
11          50     0          3          0       1      1        2
11          51     0          3          0       1      1        2
11          52     0          3          0       1      1        2

0           17     0          0          1       1      1        1
0           18     0          0          1       1      1        1
0           31     0          0          1       1      1        1
0           20     0          0          1       1      1        1
0           21     0          0          1       1      1        1
0           25     0          0          1       1      1        1
2           12     0          0          1       1      1        1
2           15     0          0          1       1      1        1
4           19     0          0          1       1      1        1
