//Section   Type   MaxSocket
0           26     4
0           27     4
0           28     4
0           29     4
0           30     3
0           36     3
0           37     5
0           38     3
0           42     5
0           44     5
0           46     5
0           51     5
2           16     4
2           17     4
2           19     3
2           20     5
2           22     5
2           25     5
3           12     5
4           23     5
4           25     5
4           26     5
4           28     5
4           30     5
5           30     3
5           31     4
5           32     3
5           35     3
5           37     5
5           41     5
5           43     5
5           49     5
5           50     5
6           17     4
6           18     4
6           19     4
6           20     4
6           22     3
6           23     3
6           24     3
6           25     3
6           26     3
7           45     4
7           46     4
7           49     4
7           50     4
7           51     4
7           52     4
7           53     3
7           54     4
7           55     3
7           56     3
7           58     3
7           74     3
7           75     3
7           77     3
7           98     5
7           99     5
7           100    5
7           101    5
7           102    5
7           103    5
7           104    5
7           105    4
7           106    4
7           107    4
7           108    4
7           109    4
7           110    4
7           111    4
7           112    4
7           113    4
7           114    4
7           115    4
7           138    5
7           139    5
7           140    5
7           141    5
7           142    5
7           143    5
7           144    5
8           45     4
8           46     4
8           47     4
8           48     4
8           49     4
8           50     4
8           51     4
8           52     4
8           53     3
8           54     4
8           55     3
8           56     3
8           57     3
8           58     3
8           74     3
8           75     3
8           76     3
8           77     3
8           98     5
8           99     5
8           100    5
8           101    5
8           102    5
8           103    5
8           104    5
8           105    4
8           106    4
8           107    4
8           108    4
8           109    4
8           110    4
8           111    4
8           112    4
8           113    4
8           114    4
8           115    4
8           138    5
8           139    5
8           140    5
8           141    5
8           142    5
8           143    5
8           144    5
9           45     4
9           46     4
9           47     4
9           48     4
9           49     4
9           50     4
9           51     4
9           52     4
9           53     3
9           54     4
9           55     3
9           56     3
9           57     3
9           58     3
9           74     3
9           75     3
9           76     3
9           77     3
9           98     5
9           99     5
9           100    5
9           101    5
9           102    5
9           103    5
9           104    5
9           105    4
9           106    4
9           107    4
9           108    4
9           109    4
9           110    4
9           111    4
9           112    4
9           113    4
9           114    4
9           115    4
9           138    5
9           139    5
9           140    5
9           141    5
9           142    5
9           143    5
9           144    5
10          45     4
10          46     4
10          47     4
10          48     4
10          49     4
10          50     4
10          51     4
10          52     4
10          53     3
10          54     4
10          55     3
10          56     3
10          57     3
10          58     3
10          74     3
10          75     3
10          76     3
10          98     5
10          99     5
10          100    5
10          101    5
10          102    5
10          103    5
10          104    5
10          105    4
10          106    4
10          107    4
10          109    4
10          110    4
10          111    4
10          112    4
10          113    4
10          114    4
10          115    4
10          138    5
10          139    5
10          140    5
10          141    5
10          142    5
10          143    5
10          144    5
11          45     4
11          46     4
11          47     4
11          48     4
11          49     4
11          50     4
11          51     4
11          52     4
11          53     3
11          54     4
11          55     3
11          56     3
11          57     3
11          58     3
11          74     3
11          75     3
11          76     3
11          77     3
11          98     5
11          99     5
11          100    5
11          101    5
11          102    5
11          103    5
11          104    5
11          105    4
11          106    4
11          107    4
11          108    4
11          109    4
11          110    4
11          111    4
11          112    4
11          113    4
11          114    4
11          115    4
11          138    5
11          139    5
11          140    5
11          141    5
11          142    5
11          143    5
11          144    5
end
