//Index   NonPK   ViewRange   ExperienceRate   ItemDropRate   ExcItemDropRate   SetItemDropRate   SocketItemDrop   HelperEnable   GensBattle	NonCustomAttack   Name
0         *       12          100              100            1000              0                 0                1              0              0                "Lorencia"
1         *       12          150              100            1000              0                 0                1              0              0                "Dungeon"
2         *       12          150              100            1000              0                 0                1              0              0                "Devias"
3         *       12          150              100            1000              0                 0                1              0              0                "Noria"
4         *       12          100              100            1000              0                 0                1              0              0                "Lost Tower"
6         *       10          100              100            1000              0              	  0                1              0              0                "Arena"
7         *       12          100              100            1000              0                 0                1              0              0                "Atlans"
8         *       12          100              100            1000              0                 0                1              1              0                "Tarkan"
9         *       10          100              100            1000              0                 0                1              0              1                "Devil Square 1"
10        *       12          100              100            1000              0                 0                1              1              0                "Icarus"
11        *       10          100              100            1000              0                 0                1              0              1                "Blood Castle 1"
12        *       10          100              100            1000              0                 0                1              0              1                "Blood Castle 2"
13        *       10          100              100            1000              0                 0                1              0              1                "Blood Castle 3"
14        *       10          100              100            1000              0                 0                1              0              1                "Blood Castle 4"
15        *       10          100              100            1000              0                 0                1              0              1                "Blood Castle 5"
16        *       10          100              100            1000              0                 0                1              0              1                "Blood Castle 6"
17        *       10          100              100            1000              0                 0                1              0              1                "Blood Castle 7"
18        *       10          100              100            1000              0                 0                0              0              1                "Chaos Castle 1"
19        *       10          100              100            1000              0                 0                0              0              1                "Chaos Castle 2"
20        *       10          100              100            1000              0                 0                0              0              1                "Chaos Castle 3"
21        *       10          100              100            1000              0                 0                0              0              1                "Chaos Castle 4"
22        *       10          100              100            1000              0                 0                0              0              1                "Chaos Castle 5"
23        *       10          100              100            1000              0                 0                0              0              1                "Chaos Castle 6"
24        *       12          100              100            1000              0                 0                1              0              1                "Kalima 1"
25        *       12          100              100            1000              0                 0                1              0              1                "Kalima 2"
26        *       12          100              100            1000              0                 0                1              0              1                "Kalima 3"
27        *       12          100              100            1000              0                 0                1              0              1                "Kalima 4"
28        *       12          100              100            1000              0                 0                1              0              1                "Kalima 5"
29        *       12          100              100            1000              0                 0                1              0              1                "Kalima 6"
30        *       10          100              100            1000              0                 0                1              0              1                "Castle Siege"
31        *       12          100              100            1000              1000              0                1              0              0                "Land of Trials"
32        *       10          100              100            1000              0                 0                1              0              1                "Devil Square 2"
33        *       12          100              100            1000              0                 0                1              0              0                "Aida"
34        *       12          100              100            1000              0                 0                1              0              0                "Crywolf"
36        *       12          100              100            1000              0                 0                1              0              0                "Kalima 7"
37        *       12          100              100            10000             1000              1                1              0              0                "Kanturu 1"
38        *       12          100              100            10000             1000              1                1              0              0                "Kanturu 2"
39        *       12          100              100            10000             1000              1                1              0              0                "Kanturu 3"
40        *       12          100              100            1000              0                 0                1              0              1                "Silent"
41        *       12          100              100            1000              1000              0                1              0              0                "Barracks"
42        *       12          100              100            1000              0                 0                1              0              0                "Refuge"
45        *       12          100              100            1000              0                 0                1              0              1                "Illusion Temple 1"
46        *       12          100              100            1000              0                 0                1              0              1                "Illusion Temple 2"
47        *       12          100              100            1000              0                 0                1              0              1                "Illusion Temple 3"
48        *       12          100              100            1000              0                 0                1              0              1                "Illusion Temple 4"
49        *       12          100              100            1000              0                 0                1              0              1                "Illusion Temple 5"
50        *       12          100              100            1000              0                 0                1              0              1                "Illusion Temple 6"
51        *       12          100              100            1000              0                 0                1              0              0                "Elbeland"
52        *       10          100              100            1000              0                 0                1              0              1                "Blood Castle 8"
53        *       10          100              100            1000              0                 0                0              0              1                "Chaos Castle 7"
56        *       12          100              100            1000              0                 0                1              0              0                "Swamp of Calmness"
57        *       12          100              100            1000              0                 1                1              0              0                "Raklion 1"
58        *       12          100              100            1000              0                 1                1              0              0                "Raklion 2"
62        *       12          100              100            1000              0                 0                1              0              1                "Santa Town"
63        *       12          100              100            1000              0                 0                1              1              0                "Vulcanus"
64        *       12          100              100            1000              0                 0                0              0              1                "Duel Arena"
65        *       12          100              100            1000              0                 0                1              0              1                "Double Goer 1"
66        *       12          100              100            1000              0                 0                1              0              1                "Double Goer 2"
67        *       12          100              100            1000              0                 0                1              0              1                "Double Goer 3"
68        *       12          100              100            1000              0                 0                1              0              1                "Double Goer 4"
69        *       12          100              100            1000              0                 0                1              0              1                "Imperial Guardian 1"
70        *       12          100              100            1000              0                 0                1              0              1                "Imperial Guardian 2"
71        *       12          100              100            1000              0                 0                1              0              1                "Imperial Guardian 3"
72        *       12          100              100            1000              0                 0                1              0              1                "Imperial Guardian 4"
79        *       12          100              100            1000              0                 0                1              0              1                "Loren Market"
80        *       12          100              100            1000              0                 1                1              0              0                "Karutan 1"
81        *       12          100              100            1000              0                 1                1              0              0                "Karutan 2"
91        *       12          100              100            1000              0                 1                1              0              0                "Acheron 1"
92        *       12          100              100            1000              0                 1                1              0              0                "Acheron 2"
95        *       12          100              100            1000              0                 1                1              0              0                "Deventer 1"
96        *       12          100              100            1000              0                 1                1              0              0                "Deventer 2"
97        *       10          100              100            1000              0                 1                0              0              1                "Chaos Castle Final"
98        *       12          100              100            1000              0                 0                1              0              1                "Illusion Temple Final 1"
99        *       12          100              100            1000              0                 0                1              0              1                "Illusion Temple Final 2"
end
