// ----------------------------------------------------\\
//        Hospedagem feita por Rodrigo                 \\
// 						       \\
// File  Name : Season8+Itens Viciados                 \\
// ViciadosMU: wWw.ViciadosMu.com.br                   \\
// Creditos: shop@viciadosmu.com.br | skype viciadosmu \\
// Disponibilizamos para ajudar a todos                \\
// Compre produtos ou jogue em nossos servidores       \\
// Shop ViciadosMu: wWw.Shop.ViciadosMu.com.br         \\
// --------------------------------------------------- \\
//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
7          25     7      0     1       0      0        0
7          26     7      0     1       0      0        0
7          27     7      0     1       0      0        0
7          28     7      0     1       0      0        0

8          25     7      0     1       0      0        0
8          26     7      0     1       0      0        0
8          27     7      0     1       0      0        0
8          28     7      0     1       0      0        0

9          25     7      0     1       0      0        0
9          26     7      0     1       0      0        0
9          27     7      0     1       0      0        0
9          28     7      0     1       0      0        0

10          25     7      0     1       0      0        0
10          26     7      0     1       0      0        0
10          27     7      0     1       0      0        0
10          28     7      0     1       0      0        0

11          25     7      0     1       0      0        0
11          26     7      0     1       0      0        0
11          27     7      0     1       0      0        0
11          28     7      0     1       0      0        0

12          21     0       0     0       0      0        0
12          22     0       0     0       0      0        0
12          23     0       0     0       0      0        0
12          24     0       0     0       0      0        0
12          35     0       0     0       0      0        0
12          48     0       0     0       0      0        0

end
