// ----------------------------------------------------\\
//        Hospedagem feita por Rodrigo                 \\
// 						       \\
// File  Name : Season8+Itens Viciados                 \\
// ViciadosMU: wWw.ViciadosMu.com.br                   \\
// Creditos: shop@viciadosmu.com.br | skype viciadosmu \\
// Disponibilizamos para ajudar a todos                \\
// Compre produtos ou jogue em nossos servidores       \\
// Shop ViciadosMu: wWw.Shop.ViciadosMu.com.br         \\
// --------------------------------------------------- \\
//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
15          30     0        0     0       0      0        0
15          30     0        0     0       0      0        0
15          31     0        0     0       0      0        0
15          32     0        0     0       0      0        0
15          33     0        0     0       0      0        0
15          34     0        0     0       0      0        0
15          35     0        0     0       0      0        0
15          36     0        0     0       0      0        0

7          5     7        0     1       0      0       0
7          59     7        0     1       0      0       0
7          60     7        0     1       0      0       0
7          61     7        0     1       0      0       0
8          5     7        0     1       0      0       0
8          59     7        0     1       0      0       0
8          60     7        0     1       0      0       0
8          61     7        0     1       0      0       0
9          5     7        0     1       0      0       0
9          59     7        0     1       0      0       0
9          60     7        0     1       0      0       0
9          61     7        0     1       0      0       0
11         5     7        0     1       0      0       0
11         59     7        0     1       0      0       0
11         60     7        0     1       0      0       0
11         61     7        0     1       0      0       0


0           0     7       0     1      0      0        0
0           1     7       0     1      0      0        0
0           32     7       0     1      0      0        0
0           33     7       0     1      0      0        0
0           34     7       0     1      0      0        0
0           35     7       0     1      0      0        0
0           32     7       0     1       0      0        0
0           33     7       0     1       0      0        0


end

