// ----------------------------------------------------\\
//        Hospedagem feita por Rodrigo                 \\
// 						       \\
// File  Name : Season8+Itens Viciados                 \\
// ViciadosMU: wWw.ViciadosMu.com.br                   \\
// Creditos: shop@viciadosmu.com.br | skype viciadosmu \\
// Disponibilizamos para ajudar a todos                \\
// Compre produtos ou jogue em nossos servidores       \\
// Shop ViciadosMu: wWw.Shop.ViciadosMu.com.br         \\
// --------------------------------------------------- \\
//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
7  14 7 255 1 0 0 0
7   6 7 255 1 0 0 0
7   5 7 255 1 0 0 0

6  16 7 255 1 0 0 0 //shield cs

8  14 7 255 1 0 0 0
8   6 7 255 1 0 0 0
8   5 7 255 1 0 0 0
8  15 7 255 1 0 0 0

9  14 7 255 1 0 0 0
9   6 7 255 1 0 0 0
9   5 7 255 1 0 0 0
9  15 7 255 1 0 0 0

10 14 7 255 1 0 0 0
10  6 7 255 1 0 0 0
10  5 7 255 1 0 0 0
10 15 7 255 1 0 0 0

11 14 7 255 1 0 0 0
11  6 7 255 1 0 0 0
11  5 7 255 1 0 0 0
11 15 7 255 1 0 0 0
end
