// ----------------------------------------------------\\
//        Hospedagem feita por Rodrigo                 \\
// 						       \\
// File  Name : Season8+Itens Viciados                 \\
// ViciadosMU: wWw.ViciadosMu.com.br                   \\
// Creditos: shop@viciadosmu.com.br | skype viciadosmu \\
// Disponibilizamos para ajudar a todos                \\
// Compre produtos ou jogue em nossos servidores       \\
// Shop ViciadosMu: wWw.Shop.ViciadosMu.com.br         \\
// --------------------------------------------------- \\
//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
13          8    7       0     0       0      0        0
13          9    7       0     0       0      0        0
13          12    7       0     0       0      0        0
13          13    7       0     0       0      0        0
13          21    7       0     0       0      0        0
13          22    7       0     0       0      0        0
13          23    7       0     0       0      0        0
13          24    7       0     0       0      0        0
2           10     7      0     1       0      0        0
2           11     7      0     1       0      0        0
2           12     7      0     1       0      0        0
2           13     7      0     1       0      0        0
2           14     7      0     1       0      0        0
2           15     7      0     1       0      0        0
2           18     7      0     1       0      0        0
2           19     7       0     1       0      0        0
6           05     7      0     1       0      0        0
6           06     7      0     1       0      0        0
6           07     7      0     1       0      0        0
6           08     7      0     1       0      0        0
6           09     7      0     1       0      0        0
6           10     7      0     1       0      0        0
6           11     7      0     1       0      0        0
6           12     7      0     1       0      0        0
end
