// ----------------------------------------------------\\
//        Hospedagem feita por Rodrigo                 \\
// 						       \\
// File  Name : Season8+Itens Viciados                 \\
// ViciadosMU: wWw.ViciadosMu.com.br                   \\
// Creditos: shop@viciadosmu.com.br | skype viciadosmu \\
// Disponibilizamos para ajudar a todos                \\
// Compre produtos ou jogue em nossos servidores       \\
// Shop ViciadosMu: wWw.Shop.ViciadosMu.com.br         \\
// --------------------------------------------------- \\
//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
15          19     0       1     0       0      0        0
15          20     0       1     0       0      0        0
15          21     0       1     0       0      0        0
15          22     0       1     0       0      0        0
15          23     0       1     0       0      0        0
15          24     0       1     0       0      0        0
15          26     0       1     0       0      0        0
15          27     0       1     0       0      0        0
15          3      0       0     0       0      0        0
15          10     0       0     0       0      0        0
15          1      0       0     0       0      0        0
15          6      0       0     0       0      0        0
12          41     0      0     1       0      0        0






7           39     0      0     1       0      0        0
7           40     0      0     1       0      0        0
7           43     0      0     1       0      0        0
7           44     0      0     1       0      0        0

8           39     0      0     1       0      0        0
8           40     0      0     1       0      0        0
8           43     0      0     1       0      0        0
8           44     0      0     1       0      0        0

9           39     0      0     1       0      0        0
9           40     0      0     1       0      0        0
9           43     0      0     1       0      0        0
9           44     0      0     1       0      0        0

10          39     0      0     1       0      0        0
10          40     0      0     1       0      0        0
10          43     0      0     1       0      0        0
10          44     0      0     1       0      0        0

11          39     0      0     1       0      0        0
11          40     0      0     1       0      0        0
11          43     0      0     1       0      0        0
11          44     0      0     1       0      0        0

end
