//|================================================================|
//| Zythe CashShop Editor                                          |
//| Credit: Zyth3/louis                          [skype:tec-facil] |
//|================================================================|
//Cat	ID	Main	Item	Coin	Price	Bonus	PBase1	PBase2	PBase3	PBase4	PBase5	PBase6	PBase7	PBase8	PBase9	PBase10	PMain1	PMain2	PMain3	PMain4	PMain5	PMain6	PMain7	PMain8	PMain9	PMain10	Comment
31	100	100	1	508	40	0	1000	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	// Sword of Destruction
31	101	101	1	508	40	0	1010	0	0	0	0	0	0	0	0	0	1010	0	0	0	0	0	0	0	0	0	// Divine Sword of Archangel
31	102	102	1	508	20	0	1020	0	0	0	0	0	0	0	0	0	1020	0	0	0	0	0	0	0	0	0	// Kris
31	103	103	1	508	40	0	1030	0	0	0	0	0	0	0	0	0	1030	0	0	0	0	0	0	0	0	0	// Knight Blade
31	104	104	1	508	40	0	1040	0	0	0	0	0	0	0	0	0	1040	0	0	0	0	0	0	0	0	0	// Bone Blade
31	105	105	1	508	40	0	1050	0	0	0	0	0	0	0	0	0	1050	0	0	0	0	0	0	0	0	0	// Explosion Blade
31	106	106	1	508	40	0	1060	0	0	0	0	0	0	0	0	0	1060	0	0	0	0	0	0	0	0	0	// Daybreak
31	107	107	1	508	40	0	1070	0	0	0	0	0	0	0	0	0	1070	0	0	0	0	0	0	0	0	0	// Sword Dancer
31	108	108	1	508	40	0	1080	0	0	0	0	0	0	0	0	0	1080	0	0	0	0	0	0	0	0	0	// Flameberge
31	109	109	1	508	50	0	1090	0	0	0	0	0	0	0	0	0	1090	0	0	0	0	0	0	0	0	0	// Sword Breaker
31	110	110	1	508	50	0	1100	0	0	0	0	0	0	0	0	0	1100	0	0	0	0	0	0	0	0	0	// Rune Bastard Sword
31	111	111	1	508	50	0	1110	0	0	0	0	0	0	0	0	0	1110	0	0	0	0	0	0	0	0	0	// Sonic Blade
31	112	112	1	508	50	0	1120	0	0	0	0	0	0	0	0	0	1120	0	0	0	0	0	0	0	0	0	// Asura
31	113	113	1	508	50	0	1130	0	0	0	0	0	0	0	0	0	1130	0	0	0	0	0	0	0	0	0	// Rune Blade
31	114	114	1	508	50	0	1140	0	0	0	0	0	0	0	0	0	1140	0	0	0	0	0	0	0	0	0	// Sacred Glove
31	115	115	1	508	50	0	1150	0	0	0	0	0	0	0	0	0	1150	0	0	0	0	0	0	0	0	0	// Piercing Blade Glove
31	116	116	1	508	50	0	1160	0	0	0	0	0	0	0	0	0	1160	0	0	0	0	0	0	0	0	0	// Phoenix Soul Star
31	117	117	1	508	50	0	1170	0	0	0	0	0	0	0	0	0	1170	0	0	0	0	0	0	0	0	0	// Prickle Glove
31	118	118	1	508	50	0	1180	0	0	0	0	0	0	0	0	0	1180	0	0	0	0	0	0	0	0	0	// Bloodangel Magic Sword
31	119	119	1	508	50	0	1190	0	0	0	0	0	0	0	0	0	1190	0	0	0	0	0	0	0	0	0	// Bloodangel Claw
31	120	120	1	508	50	0	1200	0	0	0	0	0	0	0	0	0	1200	0	0	0	0	0	0	0	0	0	// Blessed Divine Sword of Archa
31	121	121	1	508	50	0	1210	0	0	0	0	0	0	0	0	0	1210	0	0	0	0	0	0	0	0	0	// Dancer Sword
31	122	122	1	508	50	0	1220	0	0	0	0	0	0	0	0	0	1220	0	0	0	0	0	0	0	0	0	// Nexus Sword
31	123	123	1	508	50	0	1230	0	0	0	0	0	0	0	0	0	1230	0	0	0	0	0	0	0	0	0	// Galaxy Sword
31	124	124	1	508	50	0	1240	0	0	0	0	0	0	0	0	0	1240	0	0	0	0	0	0	0	0	0	// Innovation Sword
31	125	125	1	508	50	0	1250	0	0	0	0	0	0	0	0	0	1250	0	0	0	0	0	0	0	0	0	// Blitz Sword
31	126	126	1	508	50	0	1260	0	0	0	0	0	0	0	0	0	1260	0	0	0	0	0	0	0	0	0	// Gladius Sword
32	127	127	1	508	20	0	1270	0	0	0	0	0	0	0	0	0	1270	0	0	0	0	0	0	0	0	0	// Legendary Staff
32	128	128	1	508	40	0	1280	0	0	0	0	0	0	0	0	0	1280	0	0	0	0	0	0	0	0	0	// Dragon Soul Staff
32	129	129	1	508	40	0	1290	0	0	0	0	0	0	0	0	0	1290	0	0	0	0	0	0	0	0	0	// Divine Staff of Archangel
32	130	130	1	508	40	0	1300	0	0	0	0	0	0	0	0	0	1300	0	0	0	0	0	0	0	0	0	// Staff of Kundun
32	131	131	1	508	40	0	1310	0	0	0	0	0	0	0	0	0	1310	0	0	0	0	0	0	0	0	0	// Grand Viper Staff
32	132	132	1	508	40	0	1320	0	0	0	0	0	0	0	0	0	1320	0	0	0	0	0	0	0	0	0	// Platina Staff
32	133	133	1	508	40	0	1330	0	0	0	0	0	0	0	0	0	1330	0	0	0	0	0	0	0	0	0	// Spite Staff
32	134	134	1	508	50	0	1340	0	0	0	0	0	0	0	0	0	1340	0	0	0	0	0	0	0	0	0	// Legendary Staff-J
32	135	135	1	508	50	0	1350	0	0	0	0	0	0	0	0	0	1350	0	0	0	0	0	0	0	0	0	// Bloodangel Staff
32	136	136	1	508	50	0	1360	0	0	0	0	0	0	0	0	0	1360	0	0	0	0	0	0	0	0	0	// Posseidon Staff
32	137	137	1	508	50	0	1370	0	0	0	0	0	0	0	0	0	1370	0	0	0	0	0	0	0	0	0	// Blazh Staff
32	138	138	1	508	50	0	1380	0	0	0	0	0	0	0	0	0	1380	0	0	0	0	0	0	0	0	0	// Nelexto Staff
32	139	139	1	508	50	0	1390	0	0	0	0	0	0	0	0	0	1390	0	0	0	0	0	0	0	0	0	// Artemis Staff
32	140	140	1	508	50	0	1400	0	0	0	0	0	0	0	0	0	1400	0	0	0	0	0	0	0	0	0	// Wourd Staff
32	141	141	1	508	50	0	1410	0	0	0	0	0	0	0	0	0	1410	0	0	0	0	0	0	0	0	0	// Daw Staff
32	142	142	1	508	50	0	1420	0	0	0	0	0	0	0	0	0	1420	0	0	0	0	0	0	0	0	0	// Zertra Staff
33	194	194	1	508	25	0	10000	10001	10002	10003	10004	0	0	0	0	0	10000	10001	10002	10003	10004	0	0	0	0	0	// Set Legendary
33	195	195	1	508	25	0	10065	10066	10067	10068	10069	0	0	0	0	0	10065	10066	10067	10068	10069	0	0	0	0	0	// Set Dragon
33	231	231	1	508	25	0	10000	10001	10002	10003	10004	0	0	0	0	0	10000	10001	10002	10003	10004	0	0	0	0	0	// Set Guardian
33	232	232	1	508	25	0	10000	10001	10002	10003	0	0	0	0	0	0	10000	10001	10002	10003	0	0	0	0	0	0	// Set Storm Crow
33	233	233	1	508	25	0	10004	10005	10006	10007	10008	0	0	0	0	0	10004	10005	10006	10007	10008	0	0	0	0	0	// Set Ancient
33	234	234	1	508	25	0	10009	10010	10011	10012	10013	0	0	0	0	0	10009	10010	10011	10012	10013	0	0	0	0	0	// Set Adamantine
33	235	235	1	508	25	0	10014	10015	10016	10017	0	0	0	0	0	0	10014	10015	10016	10017	0	0	0	0	0	0	// Set Sacred Fire
33	236	236	1	508	45	0	10000	10001	10002	10003	10004	0	0	0	0	0	10000	10001	10002	10003	10004	0	0	0	0	0	// Set Dragon Knight
33	246	246	1	508	45	0	10005	10006	10007	10008	10009	0	0	0	0	0	10005	10006	10007	10008	10009	0	0	0	0	0	// Set Venom Mist
33	247	247	1	508	45	0	10010	10011	10012	10013	10014	0	0	0	0	0	10010	10011	10012	10013	10014	0	0	0	0	0	// Set Sticky
33	248	248	1	508	45	0	10015	10016	10017	10018	0	0	0	0	0	0	10015	10016	10017	10018	0	0	0	0	0	0	// Set Hell Night
33	249	249	1	508	45	0	10019	10020	10021	10022	10023	0	0	0	0	0	10019	10020	10021	10022	10023	0	0	0	0	0	// Set Sunlight
33	250	250	1	508	45	0	10024	10025	10026	10027	10028	0	0	0	0	0	10024	10025	10026	10027	10028	0	0	0	0	0	// Set Phoenix Soul
33	251	251	1	508	60	0	10029	10030	10031	10032	10070	0	0	0	0	0	10029	10030	10031	10032	10070	0	0	0	0	0	// Set Kilin
33	252	252	1	508	60	0	10034	10035	10036	10037	10038	0	0	0	0	0	10034	10035	10036	10037	10038	0	0	0	0	0	// Set Weutiro
33	253	253	1	508	60	0	10039	10040	10041	10042	10043	0	0	0	0	0	10039	10040	10041	10042	10043	0	0	0	0	0	// Set Heteria
33	254	254	1	508	60	0	10044	10045	10046	10047	10049	0	0	0	0	0	10044	10045	10046	10047	10049	0	0	0	0	0	// Set Deoita
33	255	255	1	508	60	0	10050	10051	10052	10053	10054	0	0	0	0	0	10050	10051	10052	10053	10054	0	0	0	0	0	// Set Uiague
33	256	256	1	508	60	0	10055	10056	10057	10058	10059	0	0	0	0	0	10055	10056	10057	10058	10059	0	0	0	0	0	// Set Team
33	257	257	1	508	60	0	10060	10061	10062	10063	10064	0	0	0	0	0	10060	10061	10062	10063	10064	0	0	0	0	0	// Set Bornet
34	143	143	1	508	20	0	1430	0	0	0	0	0	0	0	0	0	1430	0	0	0	0	0	0	0	0	0	// Mystery Stick
34	144	144	1	508	40	0	1440	0	0	0	0	0	0	0	0	0	1440	0	0	0	0	0	0	0	0	0	// Red Wing Stick
34	145	145	1	508	40	0	1450	0	0	0	0	0	0	0	0	0	1450	0	0	0	0	0	0	0	0	0	// Ancient Stick
34	146	146	1	508	40	0	1460	0	0	0	0	0	0	0	0	0	1460	0	0	0	0	0	0	0	0	0	// Demonic Stick
34	147	147	1	508	40	0	1470	0	0	0	0	0	0	0	0	0	1470	0	0	0	0	0	0	0	0	0	// Storm Blitz Stick
34	148	148	1	508	40	0	1480	0	0	0	0	0	0	0	0	0	1480	0	0	0	0	0	0	0	0	0	// Eternal Wing Stick
34	149	149	1	508	40	0	1490	0	0	0	0	0	0	0	0	0	1490	0	0	0	0	0	0	0	0	0	// Book of Samut
34	150	150	1	508	40	0	1500	0	0	0	0	0	0	0	0	0	1500	0	0	0	0	0	0	0	0	0	// Book of Neil
34	151	151	1	508	40	0	1510	0	0	0	0	0	0	0	0	0	1510	0	0	0	0	0	0	0	0	0	// Book of Lagle
