20:01:38 [AccountInfo] Account connected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
20:03:26 [AccountInfo] Account connected (Account: bordignon, IpAddress: 168.227.226.236, GameServerCode: 0)
20:03:46 [AccountInfo] Account disconnected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
20:14:20 [AccountInfo] Account disconnected (Account: bordignon, IpAddress: 168.227.226.236, GameServerCode: 0)
20:14:59 [AccountInfo] Account connected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
20:30:03 [AccountInfo] Account disconnected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
20:37:15 [AccountInfo] Account connected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
20:38:23 [AccountInfo] Account disconnected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
20:49:34 [AccountInfo] Account connected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
20:55:51 [AccountInfo] Account disconnected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
21:32:31 [AccountInfo] Account connected (Account: bordignon, IpAddress: 168.227.226.236, GameServerCode: 0)
21:44:15 [AccountInfo] Account disconnected (Account: bordignon, IpAddress: 168.227.226.236, GameServerCode: 0)
21:49:57 [AccountInfo] Account connected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
21:52:57 [AccountInfo] Account disconnected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
21:58:53 [AccountInfo] Account connected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
22:02:12 [AccountInfo] Account disconnected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
22:31:34 [AccountInfo] Account connected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
22:36:56 [AccountInfo] Account disconnected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
22:43:55 [AccountInfo] Account connected (Account: bordignon, IpAddress: 168.227.226.236, GameServerCode: 0)
22:58:35 [AccountInfo] Account disconnected (Account: bordignon, IpAddress: 168.227.226.236, GameServerCode: 0)
