10:28:50 [AccountInfo] Account connected (Account: andynhow, IpAddress: 138.204.64.1, GameServerCode: 0)
11:06:49 [AccountInfo] Account disconnected (Account: andynhow, IpAddress: 138.204.64.1, GameServerCode: 0)
11:07:25 [AccountInfo] Account connected (Account: andynhow, IpAddress: 138.204.64.1, GameServerCode: 0)
11:21:09 [AccountInfo] Account disconnected (Account: andynhow, IpAddress: 138.204.64.1, GameServerCode: 0)
11:21:23 [AccountInfo] Account connected (Account: andynhow, IpAddress: 138.204.64.1, GameServerCode: 0)
11:25:49 [AccountInfo] Account disconnected (Account: andynhow, IpAddress: 138.204.64.1, GameServerCode: 0)
11:26:45 [AccountInfo] Account connected (Account: andynhow, IpAddress: 138.204.64.1, GameServerCode: 0)
11:50:49 [AccountInfo] Account disconnected (Account: andynhow, IpAddress: 138.204.64.1, GameServerCode: 0)
13:15:44 [AccountInfo] Account connected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
13:16:26 [AccountInfo] Account disconnected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
15:00:23 [AccountInfo] Account connected (Account: craff, IpAddress: 201.66.187.149, GameServerCode: 0)
15:02:44 [AccountInfo] Account disconnected (Account: craff, IpAddress: 201.66.187.149, GameServerCode: 0)
15:08:46 [AccountInfo] Account connected (Account: craff, IpAddress: 201.66.187.149, GameServerCode: 0)
15:38:42 [AccountInfo] Account disconnected (Account: craff, IpAddress: 201.66.187.149, GameServerCode: 0)
15:41:29 [AccountInfo] Account connected (Account: craff, IpAddress: 201.66.187.149, GameServerCode: 0)
16:28:25 [AccountInfo] Account disconnected (Account: craff, IpAddress: 201.66.187.149, GameServerCode: 0)
16:32:37 [AccountInfo] Account connected (Account: craff, IpAddress: 201.66.187.149, GameServerCode: 0)
16:33:46 [AccountInfo] Account disconnected (Account: craff, IpAddress: 201.66.187.149, GameServerCode: 0)
16:34:00 [AccountInfo] Account connected (Account: craff, IpAddress: 201.66.187.149, GameServerCode: 0)
16:34:18 [AccountInfo] Account disconnected (Account: craff, IpAddress: 201.66.187.149, GameServerCode: 0)
16:34:38 [AccountInfo] Account connected (Account: craff, IpAddress: 201.66.187.149, GameServerCode: 0)
16:34:54 [AccountInfo] Account disconnected (Account: craff, IpAddress: 201.66.187.149, GameServerCode: 0)
16:37:05 [AccountInfo] Account connected (Account: craff, IpAddress: 201.66.187.149, GameServerCode: 0)
17:30:26 [AccountInfo] Account disconnected (Account: craff, IpAddress: 201.66.187.149, GameServerCode: 0)
19:42:14 [AccountInfo] Account connected (Account: bordignon, IpAddress: 168.227.226.253, GameServerCode: 0)
20:38:00 [AccountInfo] Account disconnected (Account: bordignon, IpAddress: 168.227.226.253, GameServerCode: 0)
20:38:09 [AccountInfo] Account connected (Account: rafael, IpAddress: 138.0.124.226, GameServerCode: 0)
20:43:35 [AccountInfo] Account connected (Account: bordignon, IpAddress: 168.227.226.253, GameServerCode: 0)
21:11:27 [AccountInfo] Account connected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
21:15:35 [AccountInfo] Account disconnected (Account: rafael, IpAddress: 138.0.124.226, GameServerCode: 0)
21:17:09 [AccountInfo] Account disconnected (Account: bordignon, IpAddress: 168.227.226.253, GameServerCode: 0)
21:17:23 [AccountInfo] Account connected (Account: rafael, IpAddress: 168.227.226.253, GameServerCode: 0)
21:21:49 [AccountInfo] Account disconnected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
21:22:38 [AccountInfo] Account connected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
21:23:00 [AccountInfo] Account disconnected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
21:23:55 [AccountInfo] Account connected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
21:26:01 [AccountInfo] Account disconnected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
21:26:21 [AccountInfo] Account connected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
21:27:05 [AccountInfo] Account disconnected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
21:27:35 [AccountInfo] Account disconnected (Account: rafael, IpAddress: 168.227.226.253, GameServerCode: 0)
21:27:58 [AccountInfo] Account connected (Account: bordignon, IpAddress: 168.227.226.253, GameServerCode: 0)
21:29:23 [AccountInfo] Account connected (Account: rafael, IpAddress: 138.0.124.226, GameServerCode: 0)
21:34:40 [AccountInfo] Account disconnected (Account: rafael, IpAddress: 138.0.124.226, GameServerCode: 0)
21:36:20 [AccountInfo] Account connected (Account: rafael, IpAddress: 138.0.124.226, GameServerCode: 0)
21:49:57 [AccountInfo] Account disconnected (Account: bordignon, IpAddress: 168.227.226.253, GameServerCode: 0)
22:23:21 [AccountInfo] Account disconnected (Account: rafael, IpAddress: 138.0.124.226, GameServerCode: 0)
22:24:28 [AccountInfo] Account connected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
22:25:47 [AccountInfo] Account connected (Account: rafael, IpAddress: 138.0.124.226, GameServerCode: 0)
22:27:01 [AccountInfo] Account disconnected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
22:31:53 [AccountInfo] Account disconnected (Account: rafael, IpAddress: 138.0.124.226, GameServerCode: 0)
22:33:05 [AccountInfo] Account connected (Account: rafael, IpAddress: 138.0.124.226, GameServerCode: 0)
22:33:56 [AccountInfo] Account disconnected (Account: rafael, IpAddress: 138.0.124.226, GameServerCode: 0)
22:34:50 [AccountInfo] Account connected (Account: rafael, IpAddress: 138.0.124.226, GameServerCode: 0)
22:50:38 [AccountInfo] Account connected (Account: bordignon, IpAddress: 168.227.226.253, GameServerCode: 0)
22:55:30 [AccountInfo] Account disconnected (Account: rafael, IpAddress: 138.0.124.226, GameServerCode: 0)
23:04:49 [AccountInfo] Account disconnected (Account: bordignon, IpAddress: 168.227.226.253, GameServerCode: 0)
