09:44:12 [AccountInfo] Account connected (Account: bordignon, IpAddress: 168.227.226.253, GameServerCode: 0)
10:50:37 [AccountInfo] Account connected (Account: renancoxa, IpAddress: 179.110.59.6, GameServerCode: 0)
10:52:30 [AccountInfo] Account disconnected (Account: bordignon, IpAddress: 168.227.226.253, GameServerCode: 0)
11:13:19 [AccountInfo] Account disconnected (Account: renancoxa, IpAddress: 179.110.59.6, GameServerCode: 0)
11:32:28 [AccountInfo] Account connected (Account: renancoxa, IpAddress: 179.110.59.6, GameServerCode: 0)
13:05:21 [AccountInfo] Account connected (Account: rafael, IpAddress: 168.227.226.253, GameServerCode: 0)
14:02:23 [AccountInfo] Account disconnected (Account: renancoxa, IpAddress: 179.110.59.6, GameServerCode: 0)
15:03:24 [AccountInfo] Account disconnected (Account: rafael, IpAddress: 168.227.226.253, GameServerCode: 0)
15:03:33 [AccountInfo] Account connected (Account: bordignon, IpAddress: 168.227.226.253, GameServerCode: 0)
15:21:26 [AccountInfo] Account disconnected (Account: bordignon, IpAddress: 168.227.226.253, GameServerCode: 0)
15:21:38 [AccountInfo] Account connected (Account: rafael, IpAddress: 168.227.226.253, GameServerCode: 0)
15:23:51 [AccountInfo] Account disconnected (Account: rafael, IpAddress: 168.227.226.253, GameServerCode: 0)
15:24:01 [AccountInfo] Account connected (Account: bordignon, IpAddress: 168.227.226.253, GameServerCode: 0)
16:16:30 [AccountInfo] Account disconnected (Account: bordignon, IpAddress: 168.227.226.253, GameServerCode: 0)
16:32:53 [AccountInfo] Account connected (Account: renancoxa, IpAddress: 179.110.59.6, GameServerCode: 0)
17:08:52 [AccountInfo] Account disconnected (Account: renancoxa, IpAddress: 179.110.59.6, GameServerCode: 0)
17:17:33 [AccountInfo] Account connected (Account: renancoxa, IpAddress: 179.110.59.6, GameServerCode: 0)
17:19:35 [AccountInfo] Account disconnected (Account: renancoxa, IpAddress: 179.110.59.6, GameServerCode: 0)
17:22:50 [AccountInfo] Account connected (Account: bordignon, IpAddress: 168.227.226.253, GameServerCode: 0)
17:28:36 [AccountInfo] Account connected (Account: renancoxa, IpAddress: 179.110.59.6, GameServerCode: 0)
17:33:00 [AccountInfo] Account disconnected (Account: renancoxa, IpAddress: 179.110.59.6, GameServerCode: 0)
