00:30:49 [AccountInfo] Account connected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
01:05:13 [AccountInfo] Account disconnected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
01:05:37 [AccountInfo] Account connected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
01:41:13 [AccountInfo] Account disconnected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
02:10:11 [AccountInfo] Account connected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
03:29:12 [AccountInfo] Account disconnected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
09:16:51 [AccountInfo] Account disconnected (Account: bordignon, IpAddress: 168.227.226.253, GameServerCode: 0)
09:26:20 [AccountInfo] Account connected (Account: bordignon, IpAddress: 168.227.226.253, GameServerCode: 0)
09:43:33 [AccountInfo] Account disconnected (Account: bordignon, IpAddress: 168.227.226.253, GameServerCode: 0)
13:19:58 [AccountInfo] Account connected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
14:16:47 [AccountInfo] Account disconnected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
14:23:36 [AccountInfo] Account connected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
15:39:13 [AccountInfo] Account disconnected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
16:47:33 [AccountInfo] Account connected (Account: bordignon, IpAddress: 168.227.226.253, GameServerCode: 0)
16:57:27 [AccountInfo] Account disconnected (Account: bordignon, IpAddress: 168.227.226.253, GameServerCode: 0)
16:57:40 [AccountInfo] Account connected (Account: rafael, IpAddress: 168.227.226.253, GameServerCode: 0)
17:09:20 [AccountInfo] Account disconnected (Account: rafael, IpAddress: 168.227.226.253, GameServerCode: 0)
17:09:43 [AccountInfo] Account connected (Account: bordignon, IpAddress: 168.227.226.253, GameServerCode: 0)
22:16:04 [AccountInfo] Account connected (Account: craff, IpAddress: 201.35.130.187, GameServerCode: 0)
23:14:51 [AccountInfo] Account disconnected (Account: craff, IpAddress: 201.35.130.187, GameServerCode: 0)
