09:15:43 [AccountInfo] Account disconnected (Account: bordignon, IpAddress: 168.227.226.253, GameServerCode: 0)
10:57:06 [AccountInfo] Account connected (Account: bordignon, IpAddress: 168.227.226.253, GameServerCode: 0)
13:04:21 [AccountInfo] Account connected (Account: renancoxa, IpAddress: 189.47.68.221, GameServerCode: 0)
16:24:20 [AccountInfo] Account disconnected (Account: bordignon, IpAddress: 168.227.226.253, GameServerCode: 0)
19:24:56 [AccountInfo] Account connected (Account: bordignon, IpAddress: 168.227.226.78, GameServerCode: 0)
20:38:11 [AccountInfo] Account disconnected (Account: renancoxa, IpAddress: 189.47.68.221, GameServerCode: 0)
21:17:46 [AccountInfo] Account disconnected (Account: bordignon, IpAddress: 168.227.226.78, GameServerCode: 0)
21:40:13 [AccountInfo] Account connected (Account: bordignon, IpAddress: 168.227.226.78, GameServerCode: 0)
22:22:43 [AccountInfo] Account connected (Account: pernaa, IpAddress: 191.17.38.204, GameServerCode: 0)
22:25:11 [AccountInfo] Account disconnected (Account: bordignon, IpAddress: 168.227.226.78, GameServerCode: 0)
22:30:26 [AccountInfo] Account connected (Account: bordignon, IpAddress: 168.227.226.78, GameServerCode: 0)
22:31:17 [AccountInfo] Account disconnected (Account: pernaa, IpAddress: 191.17.38.204, GameServerCode: 0)
22:38:49 [AccountInfo] Account connected (Account: pernaa, IpAddress: 191.17.38.204, GameServerCode: 0)
23:04:34 [AccountInfo] Account disconnected (Account: pernaa, IpAddress: 191.17.38.204, GameServerCode: 0)
