01:01:07 [AccountInfo] Account disconnected (Account: pasqua, IpAddress: 177.188.82.225, GameServerCode: 0)
03:01:39 [AccountInfo] Account connected (Account: pasqua, IpAddress: 177.188.82.225, GameServerCode: 0)
03:42:24 [AccountInfo] Account disconnected (Account: pasqua, IpAddress: 177.188.82.225, GameServerCode: 0)
18:51:11 [AccountInfo] Account connected (Account: bordignon, IpAddress: 168.227.226.55, GameServerCode: 0)
18:53:29 [AccountInfo] Account disconnected (Account: bordignon, IpAddress: 168.227.226.55, GameServerCode: 0)
18:55:09 [AccountInfo] Account connected (Account: bordignon, IpAddress: 168.227.226.55, GameServerCode: 0)
18:56:16 [AccountInfo] Account disconnected (Account: bordignon, IpAddress: 168.227.226.55, GameServerCode: 0)
19:21:06 [AccountInfo] Account connected (Account: felipe, IpAddress: 187.84.5.95, GameServerCode: 0)
19:24:29 [AccountInfo] Account disconnected (Account: felipe, IpAddress: 187.84.5.95, GameServerCode: 0)
19:24:38 [AccountInfo] Account connected (Account: felipe, IpAddress: 187.84.5.95, GameServerCode: 0)
19:28:06 [AccountInfo] Account disconnected (Account: felipe, IpAddress: 187.84.5.95, GameServerCode: 0)
19:28:18 [AccountInfo] Account connected (Account: felipe, IpAddress: 187.84.5.95, GameServerCode: 0)
19:30:43 [AccountInfo] Account disconnected (Account: felipe, IpAddress: 187.84.5.95, GameServerCode: 0)
19:32:51 [AccountInfo] Account connected (Account: felipe, IpAddress: 187.84.5.95, GameServerCode: 0)
19:33:30 [AccountInfo] Account disconnected (Account: felipe, IpAddress: 187.84.5.95, GameServerCode: 0)
19:33:34 [AccountInfo] Account connected (Account: felipe, IpAddress: 187.84.5.95, GameServerCode: 0)
19:34:16 [AccountInfo] Account disconnected (Account: felipe, IpAddress: 187.84.5.95, GameServerCode: 0)
19:34:27 [AccountInfo] Account connected (Account: felipe, IpAddress: 187.84.5.95, GameServerCode: 0)
19:35:14 [AccountInfo] Account disconnected (Account: felipe, IpAddress: 187.84.5.95, GameServerCode: 0)
20:16:29 [AccountInfo] Account connected (Account: bordignon, IpAddress: 168.227.226.55, GameServerCode: 0)
22:14:46 [AccountInfo] Account disconnected (Account: bordignon, IpAddress: 168.227.226.55, GameServerCode: 0)
